RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
731,1179,1476,True,3291.0,8.0,1563.7969543147208,4.224825327772845,884.2390350877193,1.0,40.0,1.0,0.0
732,1179,1490,True,2872.0,10.6,1194.5464190981431,3.137975923873217,948.3925438596492,1.0,40.0,1.0,0.0
733,1181,692,True,5815.0,17.1,1732.260654112983,4.7625715604897785,1710.8201754385964,1.0,41.0,1.0,0.0
734,1181,703,True,4103.0,19.0,1485.1036315323297,2.175058776033496,1527.703947368421,1.0,41.0,1.0,0.0
735,1184,315,True,7154.0,11.8,2088.7800453514737,12.390213940966351,875.328947368421,0.0,,,
736,1184,619,True,4150.0,13.8,1349.1549755301794,7.216455317269763,1035.686403508772,1.0,41.0,1.0,0.0
737,1186,645,True,2957.0,12.1,1694.249527410208,1.7089267463626254,1396.5043859649122,1.0,41.0,1.0,0.0
738,1187,426,True,3737.0,16.1,781.8978912319645,8.384640910837218,619.4144736842105,0.0,,,
739,1187,1336,True,9505.0,17.2,2385.1744301288404,4.285592063458656,2214.2894736842104,1.0,36.0,1.0,0.0
740,1187,1362,True,3543.0,10.5,1235.57824933687,3.501387910926318,826.594298245614,0.0,,,
741,1188,655,True,4798.0,20.9,1155.200291332848,3.765649326664548,1295.7719298245613,1.0,41.0,1.0,0.0
742,1189,241,True,4781.0,13.9,1239.9282218597064,7.43260782860609,844.2850877192982,0.0,,,
743,1189,1266,True,6828.0,13.6,2492.353996737357,3.865860793522546,1850.436403508772,1.0,36.0,1.0,0.0
744,1190,685,True,3739.0,14.0,1566.8482871125611,1.8253741372033128,1372.8092105263158,1.0,41.0,1.0,0.0
745,1190,740,False,,,,,,,,,
746,1190,924,True,5525.0,17.0,1453.2053274139844,3.524890395031453,1353.5131578947369,1.0,42.0,1.0,0.0
747,1191,382,False,,,,,,,,,
748,1191,984,True,3601.0,9.9,989.8927444794951,23.52094897757987,383.0219298245614,1.0,42.0,1.0,0.0
749,1192,628,True,2456.0,17.700000000000003,1163.834489593657,1.4008143155834614,1189.991228070175,1.0,41.0,1.0,0.0
750,1192,706,True,2415.0,4.4,1802.3456790123455,1.1685283057434308,1107.8070175438595,1.0,41.0,1.0,0.0
751,1192,870,True,4898.0,10.7,1099.9681697612732,30.47148362673597,416.43859649122805,1.0,44.0,1.0,0.0
752,1192,1350,True,4230.0,15.8,2478.7829360100377,0.90061522870979,2365.3267543859647,0.0,,,
753,1193,258,True,1823.0,7.05,1029.248730964467,1.0339578202652362,1103.5263157894738,0.0,,,
