RNA_Spot_ID,Y,X
1,186,1270
2,206,1274
3,234,1336
4,239,1251
5,269,1309
6,273,1221
7,356,1014
8,359,877
9,363,1329
10,377,776
11,379,955
12,380,1016
13,381,729
14,400,1288
15,403,694
16,404,1016
17,406,1045
18,405,1120
19,415,800
20,424,921
21,435,1133
22,436,933
23,447,973
24,451,1054
25,452,784
26,457,924
27,462,748
28,472,1080
29,473,953
30,484,698
31,485,946
32,487,756
33,491,777
34,499,698
35,501,1393
36,505,741
37,520,1387
38,527,904
39,532,1447
40,553,718
41,554,801
42,562,870
43,564,634
44,575,717
45,578,832
46,580,876
47,583,1520
48,589,1441
49,595,1344
50,599,1541
51,607,923
52,609,1030
53,619,797
54,620,817
55,621,980
56,631,558
57,631,1155
58,638,613
59,639,505
60,647,970
61,670,498
62,670,1122
63,673,618
64,673,1184
65,677,584
66,677,1340
67,683,1137
68,702,645
69,708,981
70,716,712
71,720,1386
72,732,1453
73,736,1580
74,756,1571
75,767,805
76,769,851
77,771,459
78,777,748
79,783,774
80,783,1678
81,786,725
82,786,1246
83,792,1238
84,797,1485
85,799,815
86,800,1538
87,802,769
88,807,542
89,808,1326
90,812,976
91,822,784
92,829,723
93,833,738
94,835,1004
95,839,571
96,838,1613
97,842,1190
98,843,645
99,855,1484
100,858,1644
101,859,675
102,860,1742
103,862,712
104,863,659
105,866,1456
106,879,1312
107,879,706
108,883,1447
109,883,1760
110,898,1303
111,898,1480
112,899,671
113,901,755
114,904,807
115,906,1490
116,906,801
117,909,622
118,909,1405
119,913,741
120,913,761
121,914,662
122,915,790
123,921,1458
124,922,1424
125,923,1258
126,927,1156
127,928,805
128,933,1541
129,939,1242
130,944,1251
131,958,1535
132,960,1310
133,959,1491
134,964,1281
135,966,703
136,966,1245
137,967,605
138,970,773
139,979,897
140,980,1516
141,992,1619
142,999,584
143,999,809
144,1003,1497
145,1011,1585
146,1012,889
147,1016,840
148,1021,730
149,1020,800
150,1021,770
151,1029,624
152,1029,808
153,1036,788
154,1051,783
155,1061,664
156,1068,1481
157,1068,675
158,1086,1483
159,1089,611
160,1090,1220
161,1095,596
162,1096,832
163,1100,722
164,1102,1483
165,1104,660
166,1105,623
167,1110,1148
168,1111,674
169,1112,1216
170,1113,1086
171,1114,1435
172,1117,1657
173,1120,1044
174,1127,1498
175,1129,1133
176,1131,1313
177,1138,1011
178,1143,746
179,1142,1253
180,1146,624
181,1146,1016
182,1164,1540
183,1165,967
184,1169,1263
185,1173,1533
186,1177,1144
187,1184,858
188,1185,1498
189,1191,1426
190,1192,1443
191,1193,1213
192,1195,1470
193,1199,1157
194,1201,980
195,1203,1133
196,1202,1405
197,1205,1088
198,1209,1167
199,1211,743
200,1215,697
201,1217,1039
202,1219,1461
203,1222,1394
204,1231,1134
205,1232,1396
206,1234,851
207,1234,1161
208,1235,653
209,1236,567
210,1237,1055
211,1238,1231
212,1240,1462
213,1242,1317
214,1243,1115
215,1247,834
216,1252,1050
217,1252,990
218,1253,1419
219,1256,1571
220,1258,1207
221,1258,1372
222,1260,793
223,1263,1066
224,1264,1194
225,1269,1000
226,1273,1055
227,1280,1039
228,1282,335
229,1285,942
230,1286,910
231,1291,261
232,1294,1062
233,1296,1448
234,1297,1312
235,1304,853
236,1304,1380
237,1304,946
238,1308,1399
239,1313,986
240,1317,1186
241,1323,904
242,1322,962
243,1332,872
244,1332,1054
245,1338,1044
246,1338,1174
247,1340,1240
248,1345,1001
249,1346,1555
250,1349,816
251,1350,1428
252,1350,1454
253,1351,694
254,1352,1071
255,1354,1354
256,1356,1240
257,1358,1191
258,1358,1424
259,1361,207
260,1363,1102
261,1364,1112
262,1371,1367
263,1371,177
264,1372,1136
265,1374,1492
266,1374,775
267,1376,1302
268,1377,1044
269,1378,1119
270,1381,1109
271,1387,262
272,1387,1355
273,1389,1029
274,1391,1054
275,1401,282
276,1401,727
277,1408,1302
278,1407,1412
279,1410,816
280,1412,1145
281,1420,1155
282,1420,724
283,1421,1084
284,1431,796
285,1443,226
286,1443,841
287,1446,1128
288,1446,1199
289,1449,1411
290,1451,1002
291,1451,1269
292,1452,797
293,1461,879
294,1460,1156
295,1464,981
296,1471,1140
297,1473,1062
298,1476,879
299,1479,1107
300,1481,1122
301,1481,1150
302,1483,940
303,1488,1169
304,1502,1125
305,1504,1104
306,1519,1109
307,1519,1363
308,1522,1146
309,1530,863
310,1533,807
311,1534,1002
312,1536,992
313,1538,1113
314,1547,1168
315,1593,1135
316,1596,100
317,1602,1096
318,1607,953
319,1610,62
320,1616,1018
321,1622,1141
322,1625,32
323,1630,0
324,1640,40
325,1694,90
326,1707,38
327,1904,1505
328,1940,1487
329,1942,1658
330,2032,1872
