Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,11.0,10,1.0,0.4048354773672651,0.7214519172919344,1.0115649134698168,1.0
2,True,6.0,6,0.0,0.1434317016480691,1.0252297681790277,1.0647993501100286,0.0
3,True,19.0,16,3.0,0.2807474668329062,1.3258859835864043,1.5420020311380105,0.0
4,True,4.0,4,0.0,0.4651088466873802,0.4648320304106797,0.7814118912978222,0.0
5,True,10.0,10,0.0,0.0589081866882349,1.2261133858294495,1.2321057090651697,1.0
6,True,3.0,3,0.0,0.5931576698404225,0.7181930308970322,1.3100532022981286,0.0
7,True,16.0,16,0.0,0.3473463513355723,0.6741029224890808,0.8565751903316641,1.0
8,True,16.0,15,1.0,0.3811744587110028,0.7688459461712055,0.9959817441433174,1.0
9,True,6.0,6,0.0,0.3303493677804198,0.8019004500014217,0.991288845467309,1.0
10,True,10.0,8,2.0,0.3624898535574003,0.862049168056123,1.0878628564497688,0.0
11,True,1.0,1,0.0,0.466517740908498,0.0,0.2857169291860731,0.0
12,True,14.0,14,0.0,0.1252345934921924,0.945338139280523,0.9645297377377942,0.0
13,True,6.0,6,0.0,0.2377598129245657,1.0521062064020403,1.1894445566914,0.0
14,True,9.0,9,0.0,0.2742856146101788,0.8791108117559624,0.984518861090778,1.0
15,False,0.0,0,0.0,,,,
16,False,0.0,0,0.0,,,,
17,False,0.0,0,0.0,,,,
18,False,0.0,0,0.0,,,,
19,True,10.0,9,1.0,0.2822091816243947,1.0256960707782088,1.2113786105699085,0.0
20,True,4.0,4,0.0,0.4751022204395906,0.7933311334604579,1.233395310366654,0.0
21,True,22.0,20,2.0,0.1931596742024029,0.8619617730917125,0.9386541794952706,1.0
22,True,8.0,6,2.0,0.3886999361996441,0.4548908304987892,0.6535001432914465,1.0
23,True,9.0,8,1.0,0.4617164946268265,0.6000537397569742,0.9061372125590084,1.0
24,False,0.0,0,0.0,,,,
25,False,0.0,0,0.0,,,,
26,True,11.0,11,0.0,0.2509749592963886,0.758411332959852,0.8518128080737201,0.0
27,True,14.0,14,0.0,0.6001065068312003,0.509523084009878,0.9336453159653034,0.0
28,True,1.0,1,0.0,0.5198273684746915,0.0,0.3170444111902873,0.0
29,True,5.0,5,0.0,0.4053734276750286,1.0934215788391357,1.3245804118830715,0.0
30,True,9.0,7,2.0,0.1401582148627247,1.0146287747163532,1.0355433874350688,0.0
31,False,0.0,0,0.0,,,,
32,True,3.0,3,0.0,0.5215952810594117,0.2755545171679137,0.5944607429037693,0.0
33,True,2.0,2,0.0,1.0836424559519886,0.0891116767615328,1.3987720685066816,0.0
34,True,1.0,1,0.0,0.5926482990537562,0.0,0.3687270847369727,0.0
35,True,1.0,1,0.0,0.8837514660041276,0.0,0.7420930032384566,0.0
36,True,11.0,10,1.0,0.0270865796188207,1.524930127218414,1.5075930867176317,0.0
37,True,7.0,7,0.0,0.3826830183767117,0.6316826411224243,0.8375447059590979,0.0
38,False,0.0,0,0.0,,,,
39,True,0.0,0,0.0,,,,0.0
40,True,2.0,2,0.0,0.8462565943133736,0.0702236448851349,0.7068713181202003,0.0
41,False,0.0,0,0.0,,,,
42,True,2.0,2,0.0,0.7773971157139058,0.0644521435838969,0.742668138656279,1.0
43,True,2.0,2,0.0,0.6133113373076284,0.2974900552380659,0.7835708098413013,0.0
44,True,8.0,8,0.0,0.0574034608179974,0.8026967940938831,0.8001690491539106,0.0
45,True,0.0,0,0.0,,,,0.0
46,True,5.0,5,0.0,0.8101837092636593,0.375603606449704,1.2089215304679664,0.0
47,True,3.0,2,1.0,0.4297011567045264,1.343923837687652,1.8739587479868889,0.0
48,True,2.0,2,0.0,0.8681158425682446,0.1235215421696927,0.9870917386616492,0.0
49,True,0.0,0,0.0,,,,0.0
50,True,1.0,1,0.0,0.7074891328442885,0.0,0.5219169578458193,1.0
51,True,3.0,3,0.0,0.5171132430210261,0.8225090431453919,1.354924128863461,1.0
52,True,3.0,3,0.0,0.9118903958654646,0.0679203462787123,1.0327116951984352,1.0
53,True,4.0,4,0.0,0.146448088732414,0.8928672171537301,0.9284424186919544,1.0
54,False,0.0,0,0.0,,,,
55,True,3.0,2,1.0,0.892178953027892,0.125307185370696,0.8876491095432735,1.0
56,False,0.0,0,0.0,,,,
57,True,0.0,0,0.0,,,,0.0
