Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,18.0,17,1.0,0.237861273163387,0.8195382131673163,0.9383175204504944,1.0
2,True,22.0,22,0.0,0.2005522366383627,0.621135847043854,0.6687759514758586,1.0
3,True,3.0,3,0.0,0.3174101134532126,0.4501882739671231,0.6196008596054149,0.0
4,True,34.0,34,0.0,0.1202087074838899,0.8516889237450294,0.8617543838886351,1.0
5,False,0.0,0,0.0,,,,
6,False,0.0,0,0.0,,,,
7,True,10.0,10,0.0,0.7713828332724948,0.4094377511743086,1.217421267877108,0.0
8,True,19.0,18,1.0,0.1028204907328137,0.7472421311377822,0.7682342978668638,1.0
9,True,27.0,26,1.0,0.0581723963035092,0.8992322259667073,0.9039606658479952,1.0
10,True,19.0,19,0.0,0.0645224152611875,1.0426109384166198,1.0549200247680928,1.0
11,True,21.0,19,2.0,0.2536183337478468,0.8829896184654735,0.9973008204794864,0.0
12,True,5.0,5,0.0,0.8059229365616777,0.3144098158496139,1.1899556403434532,0.0
13,True,23.0,23,0.0,0.074948216163171,0.7429928545651139,0.7461847196616407,1.0
14,False,0.0,0,0.0,,,,
15,True,19.0,18,1.0,0.1286071349904305,0.703204613542009,0.7369366942373049,1.0
16,True,9.0,9,0.0,0.3625609223632802,0.4466384131154272,0.6283189840881199,1.0
17,False,0.0,0,0.0,,,,
18,False,0.0,0,0.0,,,,
19,False,0.0,0,0.0,,,,
20,True,19.0,19,0.0,0.3358621164867039,0.6364544859828876,0.8085308211397582,1.0
21,True,27.0,27,0.0,0.0540937852157441,0.8500372048630342,0.8564793678644191,1.0
22,False,0.0,0,0.0,,,,
23,True,36.0,36,0.0,0.0397804242372529,0.8169870089308159,0.8180411806161879,1.0
24,True,26.0,26,0.0,0.1049690221862568,0.9451506529638124,0.966930419614619,1.0
25,True,46.0,46,0.0,0.0501416658447298,0.797312947338332,0.8063277559213129,1.0
26,True,18.0,18,0.0,0.2736989028285564,0.688759504743915,0.8060839313077742,1.0
27,True,21.0,21,0.0,0.1773316255956427,0.601147493337473,0.6462754990295986,1.0
28,True,39.0,39,0.0,0.1823475729918244,0.8367403183883749,0.8989640025380677,1.0
29,True,18.0,17,1.0,0.0774107912341733,0.9889159592622436,1.0140846788486697,1.0
30,False,0.0,0,0.0,,,,
31,False,0.0,0,0.0,,,,
32,True,5.0,5,0.0,0.1887836641041929,0.792590242773745,0.8709034712148287,0.0
33,True,11.0,11,0.0,0.3804438054084822,0.5858699811889545,0.8454040632671083,0.0
34,False,0.0,0,0.0,,,,
35,True,12.0,11,1.0,0.1031820875127434,0.8996730375697436,0.9204704748755478,1.0
36,False,0.0,0,0.0,,,,
37,False,0.0,0,0.0,,,,
38,True,22.0,20,2.0,0.2702454293310029,0.8729285391478321,1.0185892739675435,1.0
39,True,20.0,17,3.0,0.2860627913405397,0.8557136673870687,1.0027678565292242,1.0
40,False,0.0,0,0.0,,,,
41,False,0.0,0,0.0,,,,
42,False,0.0,0,0.0,,,,
