RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
56,817,1143,True,734.0,9.1,72594.0,15.01220502371483,160.21052631578948,1.0,13.0,1.0,0.0
57,819,50,True,194.0,9.2,39926.0,7.391515569292885,116.90350877192982,1.0,16.0,1.0,0.0
58,819,1137,True,402.0,9.4,71950.0,3.161752602284503,166.85526315789474,1.0,13.0,1.0,0.0
59,828,1122,True,196.0,2.1,5060.0,2.0421196622718583,145.27631578947367,1.0,13.0,1.0,0.0
60,860,118,True,179.0,4.15,11753.0,5.200265237361666,121.0109649122807,0.0,,,
61,863,24,True,499.0,10.1,64642.0,27.022720120761964,128.20833333333334,1.0,16.0,1.0,0.0
62,864,60,True,481.0,12.1,97813.0,16.33439879286689,136.5328947368421,1.0,16.0,1.0,0.0
63,864,905,True,330.0,8.6,41308.0,16.149437213976153,132.54166666666666,1.0,20.0,1.0,0.0
64,868,1412,False,,,,,,,,,
65,879,1405,True,326.0,9.2,53307.0,2.223278939379803,165.73684210526315,1.0,21.0,1.0,0.0
66,883,1481,False,,,,,,,,,
67,888,1475,False,,,,,,,,,
68,893,1088,True,572.0,7.6,38078.0,32.30945444473593,136.34868421052633,1.0,23.0,1.0,0.0
69,906,1411,True,837.0,8.7,59117.0,39.667832630786805,148.27850877192984,1.0,21.0,1.0,0.0
70,910,1177,True,204.0,5.2,17286.0,4.2256693807969885,138.57894736842104,1.0,24.0,1.0,0.0
71,912,1319,True,418.0,9.8,57257.0,17.864868154752756,143.3640350877193,1.0,21.0,1.0,0.0
72,919,1099,True,409.0,4.15,16185.0,11.345219280606797,149.2390350877193,1.0,23.0,1.0,0.0
73,922,801,True,470.0,8.7,51678.0,21.428520501424718,137.96491228070175,1.0,20.0,1.0,0.0
74,922,1162,True,323.0,9.1,56310.0,8.380300642593863,150.1469298245614,1.0,23.0,1.0,0.0
75,929,934,True,698.0,8.2,51162.0,42.52958497477061,136.0109649122807,1.0,25.0,1.0,0.0
76,933,746,True,216.0,3.2,7902.0,6.906121228751882,129.9232456140351,1.0,20.0,1.0,0.0
77,939,1237,True,547.0,9.7,67308.0,17.409195650279905,152.6732456140351,1.0,24.0,1.0,0.0
78,943,1265,True,257.0,4.6,14745.0,5.954541888014758,147.875,1.0,24.0,1.0,0.0
79,948,1130,True,645.0,8.7,51908.0,33.67143153919611,147.98026315789474,1.0,23.0,1.0,0.0
80,948,1284,True,928.0,8.1,64459.0,45.884547119271154,149.00219298245614,1.0,24.0,1.0,0.0
81,953,1186,True,821.0,9.1,102489.0,9.118200281935376,180.8377192982456,1.0,24.0,1.0,0.0
82,961,1250,True,424.0,6.9,29051.0,19.144445909289168,141.88377192982455,1.0,24.0,1.0,0.0
83,964,102,True,256.0,13.9,86421.0,8.435824325490142,129.48245614035088,1.0,26.0,1.0,0.0
84,965,1202,True,1110.0,9.0,77543.0,9.652588437525596,189.1929824561404,1.0,24.0,1.0,0.0
85,978,1405,True,389.0,8.7,43333.0,18.543941796816583,133.41228070175438,1.0,21.0,0.0,1.0
86,982,138,True,550.0,8.8,53654.0,25.565118898716413,134.08552631578948,1.0,26.0,1.0,0.0
87,992,1228,True,231.0,13.5,90931.0,6.327545075920286,139.7017543859649,1.0,24.0,1.0,0.0
88,997,1354,True,730.0,5.6,25057.0,13.064440798045904,147.4671052631579,0.0,,,
89,997,1370,True,1950.0,6.6,65366.0,84.79916239324223,140.9934210526316,0.0,,,
90,999,783,True,398.0,7.2,30366.0,21.555928585351573,128.7609649122807,1.0,25.0,0.0,1.0
91,1000,1370,True,850.0,8.7,81087.0,26.20692002750644,144.27850877192984,0.0,,,
92,1001,1142,True,933.0,6.9,45669.0,24.17112310281536,156.5219298245614,1.0,23.0,1.0,0.0
93,1005,111,True,456.0,9.5,54259.0,24.47116466097342,127.1842105263158,1.0,26.0,1.0,0.0
94,1015,1097,True,298.0,7.4,28603.0,12.407692447447149,132.9451754385965,1.0,23.0,1.0,0.0
95,1017,95,True,178.0,6.05,20017.0,3.381210434768279,122.54605263157896,1.0,26.0,1.0,0.0
96,1017,1140,True,1122.0,7.4,63696.0,36.31456882532851,152.50219298245614,1.0,23.0,1.0,0.0
