RNA_Spot_ID,Y,X
1,44,1389
2,332,1068
3,357,1017
4,358,1081
5,362,1035
6,364,949
7,376,1036
8,378,1062
9,396,912
10,406,1004
11,409,1079
12,422,1023
13,437,1127
14,438,1174
15,454,239
16,460,1157
17,464,1168
18,469,1124
19,471,990
20,471,1062
21,472,1078
22,474,1180
23,489,1103
24,491,1119
25,492,832
26,492,1198
27,498,990
28,506,1160
29,508,839
30,509,1061
31,513,1122
32,517,1182
33,519,820
34,520,1140
35,520,1197
36,523,786
37,524,374
38,524,1156
39,526,1167
40,526,1210
41,531,851
42,531,1065
43,533,1115
44,534,880
45,540,1149
46,541,1127
47,544,1183
48,551,1082
49,552,883
50,552,1205
51,554,1133
52,555,771
53,556,841
54,563,831
55,566,904
56,566,1115
57,568,1152
58,569,813
59,570,777
60,570,1332
61,571,854
62,573,766
63,573,824
64,573,1163
65,574,869
66,574,1268
67,578,1069
68,579,1114
69,585,1227
70,586,1055
71,588,749
72,587,820
73,587,1085
74,588,1131
75,588,1207
76,590,786
77,590,1156
78,598,1082
79,600,1026
80,600,1267
81,602,1245
82,603,1285
83,604,764
84,604,1204
85,608,777
86,608,1126
87,608,1146
88,610,1035
89,611,1001
90,614,819
91,615,896
92,615,1057
93,615,1341
94,616,1153
95,618,759
96,620,1176
97,621,1073
98,622,885
99,623,1166
100,623,1260
101,628,1114
102,627,1238
103,629,1091
104,631,1007
105,631,1310
106,630,1340
107,631,1273
108,632,865
109,633,1152
110,634,808
111,634,1192
112,636,1071
113,637,795
114,638,780
115,639,1239
116,640,1257
117,641,824
118,642,1207
119,643,985
120,644,1012
121,646,798
122,646,1284
123,647,850
124,648,1048
125,648,1368
126,654,750
127,655,997
128,656,837
129,656,2047
130,659,1183
131,661,1152
132,662,1304
133,664,1243
134,667,1057
135,668,1032
136,669,787
137,669,931
138,669,969
139,672,815
140,676,1167
141,678,1244
142,678,1013
143,681,1048
144,681,1124
145,684,830
146,684,2036
147,686,1199
148,691,1033
149,693,892
150,694,2016
151,697,972
152,699,1005
153,698,1018
154,698,1186
155,699,780
156,699,817
157,700,794
158,700,1996
159,700,2006
160,700,2038
161,703,1052
162,704,1978
163,706,871
164,706,976
165,706,1206
166,708,933
167,709,1220
168,710,1084
169,711,905
170,711,1037
171,713,1059
172,714,894
173,719,935
174,718,1156
175,720,999
176,721,1984
177,723,1030
178,723,1199
179,726,1145
180,728,771
181,730,727
182,730,1085
183,730,1996
184,731,1163
185,733,1052
186,734,857
187,734,950
188,734,973
189,738,634
190,739,2026
191,742,1077
192,742,1127
193,743,958
194,745,748
195,748,726
196,751,808
197,751,829
198,751,852
199,752,866
200,754,984
201,754,1057
202,756,950
203,761,816
204,761,1078
205,762,845
206,763,956
207,763,1185
208,765,892
209,765,922
210,766,718
211,770,595
212,770,1353
213,772,770
214,774,880
215,774,1148
216,776,989
217,779,750
218,779,938
219,781,766
220,781,952
221,782,899
222,785,999
223,786,1257
224,787,734
225,789,1332
226,791,935
227,792,877
228,795,887
229,797,973
230,797,1181
231,800,829
232,800,923
233,802,1103
234,804,964
235,804,858
236,804,910
237,804,1127
238,806,663
239,807,1188
240,808,786
241,809,676
242,809,939
243,810,966
244,810,2031
245,811,763
246,813,1237
247,816,844
248,817,1021
249,818,814
250,817,956
251,825,792
252,827,648
253,828,1017
254,830,674
255,833,594
256,838,1011
257,840,592
258,841,836
259,841,937
260,842,848
261,844,987
262,843,1029
263,844,610
264,847,1036
265,849,875
266,850,903
267,852,841
268,854,678
269,854,918
270,855,1136
271,858,951
272,861,648
273,863,1033
274,865,858
275,865,927
276,865,1016
277,867,893
278,867,967
279,869,837
280,871,902
281,872,955
282,874,706
283,875,944
284,878,641
285,880,1303
286,880,731
287,880,818
288,882,651
289,885,800
290,886,830
291,886,842
292,887,918
293,888,958
294,891,1230
295,893,732
296,894,896
297,895,666
298,895,711
299,897,2046
300,901,751
301,901,795
302,903,862
303,903,910
304,904,1026
305,904,809
306,904,1129
307,909,742
308,911,684
309,911,872
310,912,772
311,913,993
312,913,1039
313,913,1138
314,915,668
315,915,2032
316,917,699
317,917,852
318,920,935
319,921,806
320,921,819
321,921,897
322,924,738
323,924,977
324,925,660
325,925,675
326,926,1015
327,929,717
328,930,851
329,932,987
330,934,939
331,937,646
332,938,821
333,938,769
334,939,753
335,940,887
336,941,959
337,942,1002
338,944,827
339,944,908
340,946,856
341,946,928
342,948,1125
343,948,1031
344,950,714
345,953,843
346,953,943
347,954,689
348,954,1054
349,957,873
350,957,1473
351,958,1548
352,959,858
353,959,899
354,959,1105
355,961,2039
356,965,737
357,966,787
358,968,692
359,968,924
360,968,985
361,971,709
362,971,1004
363,971,1051
364,971,1092
365,972,726
366,973,762
367,973,938
368,975,1038
369,975,1107
370,978,904
371,978,822
372,980,1184
373,981,2033
374,982,679
375,982,2008
376,983,1031
377,984,624
378,984,793
379,985,1669
380,988,906
381,987,974
382,987,1983
383,989,738
384,988,1513
385,990,1368
386,990,556
387,991,640
388,992,924
389,994,874
390,994,2025
391,996,1489
392,998,1575
393,999,1591
394,1000,582
395,1000,1531
396,1001,1026
397,1001,1551
398,1002,1990
399,1003,517
400,1002,808
401,1002,1082
402,1003,2037
403,1004,736
404,1005,539
405,1005,595
406,1005,795
407,1005,906
408,1006,695
409,1006,761
410,1008,677
411,1008,713
412,1008,829
413,1010,510
414,1012,1672
415,1017,768
416,1018,1572
417,1019,989
418,1019,1006
419,1022,1542
420,1023,847
421,1025,784
422,1024,1110
423,1025,2047
424,1025,730
425,1025,2001
426,1027,1061
427,1026,1460
428,1027,956
429,1028,1566
430,1027,1612
431,1028,1560
432,1030,2010
433,1033,817
434,1033,976
435,1033,1476
436,1033,2021
437,1035,727
438,1035,1448
439,1037,2037
440,1037,1378
441,1037,1586
442,1038,1065
443,1038,1642
444,1039,695
445,1042,780
446,1043,895
447,1043,1574
448,1044,1675
449,1044,1711
450,1046,1605
451,1047,534
452,1048,1076
453,1049,728
454,1049,992
455,1049,1353
456,1049,2018
457,1050,705
458,1050,1009
459,1051,1555
460,1051,1749
461,1052,2039
462,1053,1204
463,1054,1151
464,1053,1988
465,1055,749
466,1055,1018
467,1056,1595
468,1059,916
469,1060,1402
470,1059,1723
471,1059,2024
472,1060,888
473,1061,812
474,1063,832
475,1064,866
476,1064,985
477,1065,1496
478,1064,1985
479,1065,616
480,1065,2011
481,1066,750
482,1066,1532
483,1067,856
484,1068,899
485,1068,955
486,1070,1649
487,1071,938
488,1071,1453
489,1072,731
490,1073,1743
491,1075,1977
492,1075,781
493,1076,909
494,1076,1609
495,1077,1144
496,1077,1520
497,1078,560
498,1079,714
499,1079,1632
500,1079,2001
501,1080,800
502,1080,950
503,1080,1022
504,1081,851
505,1081,1419
506,1081,1549
507,1082,1176
508,1083,1685
509,1083,695
510,1083,834
511,1084,867
512,1085,881
513,1085,2041
514,1089,1301
515,1089,616
516,1090,1137
517,1091,573
518,1093,886
519,1093,1466
520,1093,1666
521,1095,743
522,1094,1410
523,1095,2023
524,1096,800
525,1098,1428
526,1098,1714
527,1099,576
528,1099,1987
529,1100,1233
530,1101,1556
531,1101,2003
532,1102,897
533,1102,1441
534,1103,2015
535,1104,1379
536,1105,2047
537,1106,806
538,1106,828
539,1106,1526
540,1107,753
541,1107,1389
542,1107,1502
543,1108,623
544,1108,1477
545,1108,1696
546,1108,1726
547,1110,1185
548,1109,1591
549,1112,911
550,1111,1637
551,1113,1581
552,1113,586
553,1115,1402
554,1118,897
555,1118,1452
556,1120,1550
557,1120,947
558,1120,1032
559,1121,803
560,1123,1399
561,1122,1741
562,1123,1078
563,1127,852
564,1126,1614
565,1127,816
566,1127,1359
567,1127,2046
568,1128,1049
569,1130,1150
570,1131,1169
571,1131,1472
572,1132,1022
573,1133,1380
574,1134,574
575,1134,1284
576,1135,885
577,1135,1596
578,1137,603
579,1137,1289
580,1138,817
581,1138,903
582,1139,1092
583,1140,1427
584,1141,1222
585,1142,1585
586,1144,784
587,1143,873
588,1143,1412
589,1145,1019
590,1145,1307
591,1146,1444
592,1147,1672
593,1148,768
594,1148,1041
595,1148,1085
596,1148,1466
597,1148,1620
598,1149,840
599,1149,1279
600,1150,1114
601,1151,981
602,1151,1153
603,1151,1590
604,1152,1181
605,1154,594
606,1155,854
607,1154,1061
608,1155,1647
609,1157,1342
610,1158,1044
611,1159,1203
612,1160,1246
613,1161,991
614,1161,1002
615,1161,1029
616,1161,1572
617,1162,1524
618,1163,1539
619,1163,1018
620,1163,1309
621,1164,1551
622,1164,1677
623,1166,1379
624,1166,1405
625,1166,1693
626,1167,1129
627,1167,1285
628,1167,1576
629,1169,1104
630,1171,1356
631,1171,1034
632,1171,1306
633,1171,1444
634,1173,935
635,1173,1058
636,1173,1500
637,1174,1520
638,1174,794
639,1175,844
640,1175,907
641,1175,1088
642,1176,1115
643,1176,1204
644,1176,1426
645,1177,822
646,1177,1163
647,1177,1565
648,1177,1591
649,1178,1067
650,1178,1297
651,1178,1681
652,1179,877
653,1179,1334
654,1180,1320
655,1180,1398
656,1182,697
657,1182,1606
658,1183,833
659,1184,983
660,1184,1117
661,1184,1219
662,1185,905
663,1185,916
664,1185,1033
665,1185,1094
666,1187,1507
667,1189,1047
668,1189,1484
669,1189,1538
670,1190,803
671,1190,1290
672,1190,1394
673,1192,830
674,1193,1515
675,1194,1017
676,1197,663
677,1197,675
678,1197,774
679,1197,1673
680,1198,1132
681,1201,1178
682,1203,1573
683,1203,1068
684,1205,789
685,1207,843
686,1206,1301
687,1206,1392
688,1207,1275
689,1208,1597
690,1210,664
691,1210,683
692,1210,1103
693,1211,700
694,1211,735
695,1213,1321
696,1215,1078
697,1216,1141
698,1216,1219
699,1217,1232
700,1217,1377
701,1217,1442
702,1218,1454
703,1218,1565
704,1219,1515
705,1220,717
706,1220,937
707,1221,758
708,1221,1423
709,1222,783
710,1222,802
711,1224,733
712,1223,1112
713,1223,1153
714,1224,1471
715,1226,1089
716,1227,1349
717,1227,1525
718,1228,1556
719,1230,1103
720,1232,1623
721,1233,1192
722,1234,1366
723,1237,1156
724,1237,1178
725,1237,1573
726,1239,1294
727,1239,728
728,1239,1243
729,1239,1419
730,1240,1129
731,1240,1327
732,1243,803
733,1243,1543
734,1245,814
735,1245,1352
736,1246,685
737,1246,983
738,1247,671
739,1247,1201
740,1247,1250
741,1247,1400
742,1247,1507
743,1248,1113
744,1249,825
745,1250,724
746,1250,1320
747,1250,1455
748,1251,1371
749,1253,1497
750,1254,767
751,1254,1575
752,1254,1609
753,1255,1320
754,1257,1193
755,1257,1245
756,1257,1433
757,1257,1526
758,1257,1591
759,1258,798
760,1258,1656
761,1259,676
762,1259,750
763,1259,1171
764,1259,1302
765,1261,1102
766,1262,1093
767,1264,951
768,1263,1259
769,1263,1337
770,1264,1513
771,1264,1273
772,1265,899
773,1266,914
774,1266,1055
775,1267,1064
776,1267,1219
777,1268,653
778,1269,1287
779,1269,1361
780,1269,1625
781,1270,1424
782,1272,686
783,1273,1335
784,1273,1409
785,1273,1529
786,1275,730
787,1275,1084
788,1275,1263
789,1275,1567
790,1276,1203
791,1276,1603
792,1277,860
793,1277,890
794,1277,1045
795,1278,966
796,1278,1318
797,1278,1448
798,1279,1296
799,1280,750
800,1280,798
801,1282,687
802,1281,874
803,1281,922
804,1283,1254
805,1283,1591
806,1287,1062
807,1287,1110
808,1287,1239
809,1289,748
810,1288,1422
811,1288,1633
812,1289,1362
813,1291,1084
814,1290,1288
815,1290,1383
816,1290,1496
817,1291,888
818,1291,920
819,1293,722
