RNA_Spot_ID,Y,X
509,683,1122
510,684,498
511,685,466
512,685,482
513,685,993
514,686,404
515,686,813
516,688,1359
517,689,884
518,689,1442
519,690,1029
520,691,743
521,691,826
522,691,921
523,691,1169
524,693,1060
525,693,1226
526,694,981
527,695,365
528,695,906
529,695,962
530,696,453
531,696,549
532,698,839
533,700,618
534,701,1074
535,701,1379
536,702,470
537,702,757
538,703,980
539,703,1185
540,704,1089
541,705,422
542,706,594
543,706,957
544,706,1212
545,708,1146
546,712,556
547,712,1038
548,714,838
549,714,921
550,715,1013
551,716,544
552,716,573
553,716,652
554,718,928
555,719,890
556,719,1066
557,720,986
558,721,1121
559,723,309
560,724,1040
561,725,603
562,725,791
563,725,1150
564,725,1218
565,726,1002
566,727,501
567,728,1200
568,729,443
569,731,1416
570,732,559
571,733,1112
572,734,966
573,735,581
574,737,1023
575,737,1050
576,738,696
577,738,1627
578,739,863
579,740,1403
580,741,553
581,741,757
582,741,1102
583,743,832
584,744,1132
585,745,384
586,745,1186
587,747,668
588,748,640
589,749,398
590,749,1004
591,749,1240
592,750,766
593,750,1446
594,751,438
595,751,746
596,751,1195
597,752,868
598,752,1080
599,752,1459
600,753,555
601,753,818
602,754,1278
603,755,1258
604,756,986
605,757,692
606,757,719
607,760,469
608,761,508
609,762,1658
610,762,584
611,763,932
612,763,1148
613,764,450
614,764,1270
615,765,546
616,765,608
617,767,913
618,768,667
619,768,971
620,768,1066
621,770,644
622,771,531
623,772,679
624,773,729
625,773,1023
626,775,557
627,775,742
628,775,779
629,775,1263
630,776,981
631,776,1081
632,777,807
633,777,1007
634,778,1671
635,779,619
636,779,638
637,779,1145
638,782,681
639,783,446
640,783,669
641,784,819
642,785,394
643,785,408
644,786,555
645,786,803
646,786,878
647,787,592
648,787,709
649,789,360
650,789,793
651,792,652
652,792,1037
653,792,1109
654,792,1197
655,793,771
656,794,853
657,794,963
658,794,1150
659,795,581
660,795,732
661,796,1662
662,797,701
663,797,865
664,798,830
665,798,1162
666,799,417
667,799,816
668,799,1087
669,799,1638
670,800,907
671,801,568
672,803,346
673,803,432
674,806,793
675,806,929
676,807,1680
677,808,643
678,808,846
679,808,1013
680,808,1638
681,809,403
682,809,697
683,809,1188
684,810,451
685,810,474
686,811,712
687,811,1243
688,813,1051
689,814,582
690,814,735
691,818,643
692,818,835
693,819,1030
694,820,389
695,820,620
696,820,1083
697,821,856
698,821,874
699,822,540
700,823,1624
701,824,1179
702,825,1284
703,827,460
704,827,485
705,827,727
706,827,1274
707,828,702
708,828,1613
709,831,1243
710,831,441
711,831,902
712,833,925
713,833,938
714,833,1074
715,833,1630
716,834,641
717,834,668
718,834,747
719,834,1188
720,834,1643
721,837,800
722,838,1258
723,839,531
724,839,602
725,841,721
726,842,868
727,842,1023
728,843,609
729,845,426
730,845,1107
731,846,1063
732,847,706
733,847,736
734,847,915
735,848,286
736,848,371
737,850,329
738,851,783
739,853,628
740,853,826
741,853,848
742,853,1019
743,854,353
744,854,563
745,855,766
746,856,301
747,856,944
748,857,475
749,858,701
750,858,931
751,859,271
752,859,454
753,859,637
754,859,1200
755,861,903
756,861,1056
757,861,1105
758,862,412
759,862,788
760,863,383
761,863,919
762,863,1034
763,865,774
764,867,657
765,868,831
766,868,1212
767,869,545
768,869,808
769,870,843
770,872,611
771,873,412
772,873,764
773,874,703
774,875,262
775,875,874
776,877,281
777,877,675
778,877,941
779,879,484
780,879,1650
781,880,510
782,881,545
783,881,573
784,882,395
785,883,932
786,884,752
787,885,789
788,885,898
789,886,372
790,886,454
791,886,860
792,887,1099
793,888,762
794,888,1160
795,888,1228
796,889,330
797,889,889
798,890,1265
799,891,561
800,891,672
801,892,481
802,892,910
803,893,440
804,893,794
805,894,949
806,895,812
807,895,1612
808,896,545
809,896,1197
810,897,777
811,898,462
812,898,620
813,898,686
814,899,664
815,899,1556
816,900,938
817,901,592
818,901,1080
819,902,470
820,902,756
821,902,831
822,902,1118
823,903,870
824,903,1174
825,903,1270
826,904,1066
827,904,1340
828,905,502
829,908,644
830,908,1566
831,909,845
832,909,1140
833,910,1209
834,911,553
835,913,621
836,913,1504
837,914,253
838,915,575
839,915,791
840,917,526
841,917,762
842,917,815
843,918,486
844,918,593
845,919,1194
846,920,722
847,920,828
848,920,1156
849,922,1093
850,922,1565
851,923,1258
852,923,1544
853,924,380
854,925,361
855,925,628
856,925,1291
857,926,503
858,926,1276
859,927,604
860,927,648
861,928,1119
862,928,1339
863,929,749
864,929,1190
865,930,465
866,932,1062
867,933,432
868,934,1097
869,934,1480
870,937,805
871,937,1011
872,938,370
873,938,775
874,939,447
875,939,541
876,939,1521
877,941,1287
878,941,1364
879,942,1055
880,942,1162
881,943,637
882,943,1274
883,944,1144
884,945,847
885,947,1222
886,948,609
887,948,746
888,950,1200
889,950,1234
890,950,1541
891,953,319
892,953,1112
893,954,278
894,955,347
895,958,368
896,958,1061
897,960,659
898,960,781
899,960,1477
900,960,1510
901,961,842
902,961,994
903,961,1458
904,963,528
905,963,1174
906,963,1246
907,964,389
908,965,1080
909,966,1303
910,967,606
911,968,554
912,969,423
913,969,630
914,970,1119
915,971,861
916,971,1288
917,975,277
918,975,642
919,975,693
920,975,1552
921,976,475
922,976,1041
923,977,293
924,978,1493
925,980,343
926,981,795
927,981,1531
928,982,441
929,982,584
930,983,327
931,983,605
932,983,997
933,984,659
934,984,1053
935,984,1169
936,987,516
937,989,888
938,990,687
939,990,1530
940,991,1206
941,992,770
942,992,1092
943,992,1465
944,993,1074
945,993,1110
946,993,1424
947,994,551
948,994,926
949,995,570
950,995,599
951,996,1495
952,996,1508
953,996,1520
954,997,432
955,997,1484
956,998,741
957,998,758
958,998,881
959,998,1031
960,999,829
961,999,1149
962,999,1234
963,1000,342
964,1000,450
965,1000,706
966,1000,1270
967,1002,472
968,1002,1056
969,1003,651
970,1003,718
971,1003,1418
972,1004,1561
973,1004,1690
974,1005,629
975,1006,1437
