RNA_Spot_ID,Y,X
1,546,1104
2,628,963
3,736,1365
4,828,1916
5,833,935
6,1530,768
7,1533,1451
8,1548,1252
9,1555,1064
10,1571,1046
11,1581,1357
12,1597,996
13,1602,1328
14,1637,1418
15,1888,1348
