RNA_Spot_ID,Y,X
1,186,1270
2,206,1274
3,234,1336
4,239,1251
5,269,1309
6,272,1190
7,273,1221
8,283,854
9,356,1014
10,359,877
11,363,1329
12,377,776
13,379,955
14,380,1016
15,381,729
16,400,1288
17,403,694
18,404,1016
19,406,1045
20,405,1120
21,415,800
22,424,921
23,435,1133
24,436,933
25,447,973
26,451,1054
27,452,784
28,457,924
29,462,748
30,472,1080
31,473,953
32,484,698
33,485,946
34,487,756
35,491,777
36,499,1475
37,499,698
38,501,1393
39,505,741
40,509,952
41,520,1387
42,527,904
43,532,1447
44,553,718
45,554,801
46,562,870
47,564,634
48,571,1499
49,575,717
50,578,832
51,580,876
52,583,1520
53,589,1441
54,595,1344
55,599,1541
56,607,923
57,609,1030
58,619,797
59,620,817
60,621,980
61,631,558
62,631,1155
63,638,613
64,639,505
65,647,970
66,670,498
67,670,1122
68,673,618
69,673,1184
70,677,584
71,677,1340
72,679,1479
73,682,1370
74,683,1137
75,685,658
76,702,645
77,708,981
78,716,712
79,720,1386
80,724,1401
81,732,1453
82,736,1580
83,756,1571
84,761,1277
85,767,805
86,769,851
87,771,459
88,777,748
89,783,774
90,783,1678
91,786,725
92,786,1246
93,792,1238
94,797,1485
95,799,815
96,800,1538
97,802,769
98,807,542
99,808,1326
100,812,976
101,822,784
102,829,723
103,833,738
104,835,1004
105,839,571
106,838,1613
107,842,1190
108,843,645
109,845,632
110,855,1484
111,858,1644
112,859,675
113,860,1742
114,862,712
115,863,659
116,866,1456
117,879,1312
118,879,692
119,879,706
120,883,1447
121,883,1760
122,887,1535
123,890,795
124,898,1303
125,898,1480
126,899,671
127,902,1347
128,901,755
129,904,807
130,906,1490
131,906,801
132,909,622
133,909,1405
134,913,741
135,913,761
136,914,662
137,915,790
138,921,1458
139,922,1424
140,923,1258
141,927,1156
142,927,1448
143,928,805
144,933,1541
145,939,757
146,939,1242
147,944,1251
148,955,1267
149,958,1535
150,960,1310
151,959,1491
152,964,1281
153,966,703
154,966,1245
155,967,605
156,970,773
157,979,897
158,980,1516
159,981,551
160,992,1619
161,999,584
162,999,809
163,1003,1497
164,1011,1585
165,1012,889
166,1016,840
167,1021,730
168,1020,800
169,1021,770
170,1029,624
171,1029,808
172,1036,788
173,1051,783
174,1061,664
175,1068,1481
176,1068,675
177,1070,1281
178,1086,1483
179,1089,611
180,1090,1220
181,1095,596
182,1096,832
183,1100,722
184,1102,1483
185,1104,660
186,1105,623
187,1107,693
188,1110,1148
189,1111,674
190,1112,1216
191,1113,1086
192,1114,587
193,1114,1435
194,1117,1657
195,1120,1044
196,1127,1498
197,1129,1133
198,1131,1313
199,1138,1011
200,1139,1041
201,1143,746
202,1142,1253
203,1146,624
204,1146,1016
205,1156,1206
206,1164,1540
207,1165,967
208,1169,1263
209,1173,1533
210,1177,1144
211,1179,1070
212,1184,858
213,1185,1498
214,1191,1426
215,1192,1443
216,1193,1213
217,1195,1470
218,1199,1157
219,1201,980
220,1203,1133
221,1202,1405
222,1205,1088
223,1208,867
224,1209,1167
225,1211,743
226,1215,697
227,1217,1039
228,1219,1461
229,1222,1394
230,1231,1134
231,1232,1396
232,1234,851
233,1234,1161
234,1235,653
235,1236,567
236,1237,1055
237,1238,1231
238,1240,1462
239,1242,1317
240,1243,1115
241,1245,1298
242,1247,834
243,1252,1050
244,1252,990
245,1252,1059
246,1253,1419
247,1256,1571
248,1258,1207
249,1258,1372
250,1260,793
251,1263,1066
252,1264,1194
253,1269,1000
254,1273,1055
255,1275,1066
256,1280,1039
257,1282,335
258,1285,942
259,1286,910
260,1291,261
261,1294,1062
262,1296,1448
263,1297,1312
264,1304,853
265,1304,1380
266,1304,946
267,1308,1399
268,1313,986
269,1317,1186
270,1323,904
271,1322,962
272,1332,872
273,1332,1054
274,1338,1044
275,1338,1174
276,1340,1240
277,1345,1001
278,1346,1555
279,1349,816
280,1350,1428
281,1350,1454
282,1351,694
283,1352,1071
284,1354,1354
285,1356,1240
286,1358,1191
287,1358,1424
288,1361,207
289,1363,1102
290,1364,1112
291,1371,1367
292,1371,177
293,1372,1136
294,1374,1492
295,1374,775
296,1376,1302
297,1377,1044
298,1378,1119
299,1381,1109
300,1387,262
301,1387,1355
302,1389,1029
303,1391,1054
304,1397,1207
305,1401,282
306,1401,727
307,1408,1302
308,1407,1412
309,1410,816
310,1412,1145
311,1420,1155
312,1420,724
313,1421,1084
314,1431,796
315,1443,226
316,1443,841
317,1446,1128
318,1446,1199
319,1449,1411
320,1451,1002
321,1451,1269
322,1452,797
323,1459,1320
324,1461,879
325,1460,1156
326,1464,981
327,1471,1140
328,1473,1062
329,1476,879
330,1479,1107
331,1481,1122
332,1481,1150
333,1483,940
334,1488,1169
335,1502,1125
336,1504,1104
337,1509,1074
338,1519,1109
339,1519,1363
340,1522,1146
341,1530,863
342,1533,807
343,1534,1002
344,1536,992
345,1538,1113
346,1547,1168
347,1593,1135
348,1596,100
349,1602,1096
350,1607,953
351,1610,62
352,1616,1018
353,1622,1141
354,1625,32
355,1630,0
356,1640,40
357,1694,90
358,1707,38
359,1904,1505
360,1940,1487
361,1942,1658
362,2006,1692
363,2032,1872
