Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,13.0,13,0.0,0.1556998265848118,0.6732061407673968,0.707842941849797,0.0
2,True,38.0,38,0.0,0.0639330447284058,0.8657406037764247,0.8708738764920871,1.0
3,True,2.0,2,0.0,0.5598029096073733,0.6298819782446684,1.1080120606690198,0.0
4,False,0.0,0,0.0,,,,
5,True,43.0,43,0.0,0.1226750968679901,0.7511926543190609,0.7797754062118845,1.0
6,True,39.0,38,1.0,0.3979258310924193,0.6699019126015002,0.9279245547597998,1.0
7,True,53.0,52,1.0,0.1012638189658394,0.8925888030185057,0.9056863032264572,1.0
8,False,0.0,0,0.0,,,,
9,True,39.0,38,1.0,0.2193157987804749,0.7659398861273105,0.8333552817541551,1.0
10,True,10.0,7,3.0,0.3078399848348594,0.6069370416201537,0.7959919577191475,1.0
11,True,49.0,49,0.0,0.2650774342799347,0.8208245764267056,0.9348268656223132,1.0
12,True,10.0,9,1.0,0.3116760297063692,0.8978723006427028,1.0984023443729938,1.0
13,True,4.0,4,0.0,0.3008070382803733,0.8133889770174794,0.973106363739476,1.0
14,False,0.0,0,0.0,,,,
15,True,84.0,82,2.0,0.090763201181126,0.8468327960579941,0.8569310347332301,1.0
16,True,22.0,22,0.0,0.1814134659499179,0.8009962239542602,0.8586876144895881,1.0
17,False,0.0,0,0.0,,,,
18,True,21.0,21,0.0,0.3884053961805762,0.7158313639293117,0.9775592450675868,1.0
19,True,15.0,15,0.0,0.1926655837081755,0.6692230797759664,0.7375698384496745,1.0
20,True,35.0,33,2.0,0.2339884256957251,0.8335159957359028,0.9161718528009862,1.0
21,False,0.0,0,0.0,,,,
22,True,5.0,5,0.0,0.5044433976482199,0.3371162748512786,0.6046029249502504,1.0
23,False,0.0,0,0.0,,,,
24,True,17.0,17,0.0,0.1634920127986578,0.8567230200766561,0.9032603037934154,1.0
25,True,18.0,18,0.0,0.0534745893351858,0.8406571323517809,0.8408307931726818,1.0
26,True,17.0,15,2.0,0.1630280568097245,0.8178808749005622,0.9008948202176098,1.0
27,True,32.0,32,0.0,0.2318772806210995,0.5899195820686364,0.6879157618674173,1.0
28,True,31.0,31,0.0,0.5114344410533519,0.6128374968299127,0.96817138832228,1.0
29,True,19.0,19,0.0,0.4721437146344193,0.5978339021088599,0.9709728885872289,1.0
30,True,29.0,29,0.0,0.1979659694473168,0.7752041786938126,0.8388717452780028,1.0
31,True,29.0,29,0.0,0.2007893767937956,0.9100707709362568,0.9850162033696832,1.0
32,False,0.0,0,0.0,,,,
33,True,39.0,38,1.0,0.2369588817511117,0.8101322566926528,0.9246044106869103,1.0
34,True,57.0,57,0.0,0.2500102010042954,0.7264643730369033,0.8210792022986899,1.0
35,True,39.0,39,0.0,0.0795968252046471,0.929550195823458,0.9540891452206688,1.0
36,True,37.0,37,0.0,0.1840781398011364,0.7771124677543702,0.8464979334954928,1.0
37,True,60.0,59,1.0,0.0565169765533587,0.8566383812621764,0.8695523181524779,1.0
38,True,55.0,54,1.0,0.0805926549991661,0.8332304969353714,0.846908218649464,1.0
39,True,49.0,48,1.0,0.1418620961744573,0.8605926756633221,0.8871548549295242,1.0
40,True,35.0,35,0.0,0.2089164185547878,0.8226986400202577,0.8823719977763413,1.0
41,True,41.0,41,0.0,0.2097714393663101,0.7565435221771019,0.8294247791144415,1.0
42,True,18.0,18,0.0,0.08376817121993,0.7950000205505097,0.7991490392991553,1.0
43,True,26.0,26,0.0,0.1652439574634518,0.8456803803347639,0.9022400338329072,1.0
44,True,97.0,90,7.0,0.2153462750978592,0.8092074873555011,0.8884125768769121,1.0
45,True,14.0,13,1.0,0.1048749756836513,0.8147534900680292,0.8273328069425557,1.0
46,False,0.0,0,0.0,,,,
