RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,12,1527,False,,,,,,,,,
2,38,42,False,,,,,,,,,
3,50,704,True,1197.0,10.3,140961.0,17.705930826223394,194.54605263157896,0.0,,,
4,59,755,True,1294.0,13.5,233783.0,13.218542803878568,249.4429824561404,1.0,2.0,1.0,0.0
5,64,635,True,2071.0,13.3,360183.0,10.797616524069932,369.4824561403509,1.0,1.0,1.0,0.0
6,71,708,True,1344.0,10.8,190152.0,2.70711117767285,416.48026315789474,1.0,1.0,1.0,0.0
7,82,11,False,,,,,,,,,
8,85,701,True,2432.0,16.7,669738.0,3.7778030642966343,659.6820175438596,1.0,1.0,1.0,0.0
9,88,707,True,2880.0,14.5,625321.0,6.555226763860658,680.3618421052631,1.0,1.0,1.0,0.0
10,92,620,True,1540.0,10.9,174824.0,24.177990905642822,286.6030701754386,1.0,1.0,1.0,0.0
11,95,823,True,1031.0,13.8,275281.0,4.590715203321532,372.765350877193,1.0,2.0,1.0,0.0
12,96,737,True,1399.0,11.4,228965.0,8.468942166601803,367.33991228070175,1.0,2.0,1.0,0.0
13,96,754,True,1579.0,10.8,207382.0,9.555905910299987,335.5877192982456,1.0,2.0,1.0,0.0
14,100,849,True,1350.0,8.15,172443.0,3.713646773661265,451.62719298245617,1.0,2.0,0.0,1.0
15,106,590,True,1743.0,12.3,304259.0,6.248407706373577,422.87280701754383,1.0,1.0,1.0,0.0
16,108,654,True,999.0,11.9,177945.0,9.907505099778842,298.4451754385965,1.0,1.0,1.0,0.0
17,111,816,True,1770.0,10.9,237094.0,9.025263100011848,419.2872807017544,1.0,2.0,1.0,0.0
18,112,704,True,2689.0,16.2,801932.0,4.580336356796599,795.1052631578947,1.0,1.0,1.0,0.0
19,116,837,True,1804.0,8.65,269415.0,4.728153573282152,740.796052631579,1.0,2.0,1.0,0.0
20,118,696,True,1971.0,21.200000000000003,1262195.0,1.5703657694398028,1024.1008771929824,1.0,1.0,1.0,0.0
21,120,637,True,1600.0,10.1,199999.0,11.063782561029653,375.1820175438597,1.0,1.0,1.0,0.0
