RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
66,405,859,True,1640.0,14.7,326595.0,10.66338958393147,330.32675438596493,1.0,6.0,1.0,0.0
67,405,1387,True,3729.0,12.1,541937.0,15.399778477438833,587.0372807017544,1.0,3.0,1.0,0.0
68,405,1692,True,3552.0,12.2,433230.0,20.121848494785084,403.8311403508772,1.0,4.0,1.0,0.0
69,409,1412,True,5147.0,22.8,2954848.0,1.5989255639860709,2430.842105263158,1.0,3.0,1.0,0.0
70,410,1230,True,4391.0,18.3,1841554.0,2.4754695537722564,1674.502192982456,1.0,5.0,1.0,0.0
71,411,1344,True,4668.0,12.3,613252.0,14.963425898509264,552.8421052631579,1.0,3.0,1.0,0.0
72,412,1278,True,3849.0,12.0,479914.0,13.641368481103743,499.92763157894734,1.0,5.0,1.0,0.0
73,415,1756,True,3758.0,11.4,392757.0,23.72190435759672,371.5350877192983,1.0,4.0,1.0,0.0
74,417,1425,True,4746.0,18.1,2014356.0,2.3785455035824263,1685.0394736842106,1.0,3.0,1.0,0.0
75,418,1238,True,3747.0,17.8,1946853.0,1.4051910069481106,1913.1600877192984,1.0,5.0,1.0,0.0
76,423,1366,True,3324.0,12.6,496346.0,11.716996490928665,539.5175438596491,1.0,3.0,1.0,0.0
77,424,1225,True,4998.0,21.3,2838525.0,2.848219142504312,2098.4824561403507,1.0,5.0,1.0,0.0
78,430,1647,True,2022.0,12.0,238064.0,17.65988705038936,242.4298245614035,0.0,,,
79,433,1194,True,7713.0,12.7,976464.0,16.467122682102797,872.8969298245614,1.0,5.0,1.0,0.0
80,434,1237,True,5127.0,12.6,982566.0,3.341132202104704,1551.7916666666667,1.0,5.0,1.0,0.0
81,435,1303,True,4506.0,13.4,652273.0,15.399822945416236,600.7456140350877,1.0,5.0,1.0,0.0
82,444,1215,True,4250.0,11.5,612331.0,7.451008466123781,967.0548245614036,1.0,5.0,1.0,0.0
83,452,1241,True,3209.0,11.6,538156.0,7.99213882775953,758.186403508772,1.0,5.0,1.0,0.0
84,464,1424,True,1502.0,13.1,272786.0,10.282856004947051,297.9166666666667,0.0,,,
85,468,861,True,2502.0,14.9,516620.0,9.011335848187846,489.61622807017545,1.0,6.0,1.0,0.0
86,468,1450,True,1723.0,13.1,241828.0,17.330544941888828,267.82675438596493,0.0,,,
87,478,803,True,1496.0,10.5,173209.0,21.91933569760221,268.0416666666667,1.0,6.0,1.0,0.0
88,484,1733,True,2148.0,14.1,398044.0,11.167185215514694,378.64912280701753,1.0,4.0,1.0,0.0
89,485,1089,True,2969.0,12.4,348932.0,19.457642973564585,348.2236842105263,1.0,7.0,1.0,0.0
90,488,775,True,5843.0,13.1,819708.0,14.9331200159988,652.7412280701755,1.0,6.0,1.0,0.0
91,490,1297,True,5145.0,16.0,1235248.0,7.064878382436492,1197.423245614035,1.0,5.0,1.0,0.0
92,497,881,True,4092.0,12.2,492611.0,18.614743369128423,449.8157894736842,1.0,6.0,1.0,0.0
93,504,1267,True,3810.0,18.6,1288109.0,1.885456563106134,1299.0504385964912,1.0,5.0,1.0,0.0
94,511,1272,True,6370.0,15.7,1151633.0,7.314447932993051,1071.407894736842,1.0,5.0,1.0,0.0
95,513,1235,True,2380.0,10.9,247664.0,26.583573733741748,316.75657894736844,1.0,5.0,1.0,0.0
96,515,820,True,5669.0,11.7,613159.0,21.353274170415656,537.1140350877193,1.0,6.0,1.0,0.0
97,515,1110,True,2187.0,10.4,225464.0,26.59925090988828,282.99122807017545,1.0,7.0,1.0,0.0
98,516,1391,False,,,,,,,,,
99,520,577,False,,,,,,,,,
100,521,999,True,2182.0,12.3,375301.0,9.193990407635123,388.96491228070175,0.0,,,
101,522,781,True,3537.0,11.9,605702.0,3.7399942035783726,884.6359649122807,1.0,6.0,1.0,0.0
102,523,872,True,3006.0,15.7,812887.0,2.781856225192421,842.5570175438596,1.0,6.0,1.0,0.0
103,524,1024,True,6671.0,11.1,612320.0,26.26926887037756,496.9013157894737,1.0,7.0,1.0,0.0
104,530,1430,True,1168.0,11.1,140750.0,27.320574570204823,185.7280701754386,0.0,,,
105,531,874,True,3876.0,15.1,795739.0,4.401110592647218,797.6973684210526,1.0,6.0,1.0,0.0
106,536,785,True,5425.0,12.1,1029989.0,4.28513841437259,1473.217105263158,1.0,6.0,1.0,0.0
107,540,1264,True,2608.0,12.8,391492.0,9.09101368635272,451.9473684210527,0.0,,,
108,541,1143,True,3572.0,12.7,469710.0,17.722817426590904,416.2236842105263,1.0,7.0,1.0,0.0
109,546,808,True,6910.0,12.6,1104624.0,9.443227494580205,1201.9780701754387,1.0,6.0,1.0,0.0
110,546,1083,True,3791.0,11.0,338897.0,28.362250436915318,367.9934210526316,1.0,7.0,1.0,0.0
111,548,516,False,,,,,,,,,
112,551,789,True,6114.0,15.5,1670499.0,5.845573180357922,1642.6995614035088,1.0,6.0,1.0,0.0
113,554,1207,False,,,,,,,,,
114,555,593,False,,,,,,,,,
115,557,547,False,,,,,,,,,
116,560,824,True,3249.0,11.6,388133.0,5.7060881998045225,573.7214912280701,1.0,6.0,1.0,0.0
117,562,1577,True,2734.0,13.9,473522.0,8.972869172095576,505.7916666666667,1.0,10.0,1.0,0.0
118,569,902,False,,,,,,,,,
119,574,980,False,,,,,,,,,
120,574,1140,True,5154.0,12.8,654338.0,16.489265756018145,544.4188596491229,1.0,7.0,1.0,0.0
