Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,1.0,1,0.0,0.831084218052181,0.0,0.7572243786680943,1.0
2,True,0.0,0,0.0,,,,0.0
3,True,0.0,0,0.0,,,,0.0
4,True,0.0,0,0.0,,,,0.0
5,True,2.0,2,0.0,0.571895045223284,0.15345346531546,0.6297432194156809,1.0
6,True,0.0,0,0.0,,,,0.0
7,True,1.0,1,0.0,0.7111862208233662,0.0,0.5664768528014236,1.0
8,True,1.0,1,0.0,0.8306912243589942,0.0,0.8194855275277263,1.0
9,True,1.0,1,0.0,0.2262267389592341,0.0,0.0762119155282688,1.0
10,True,0.0,0,0.0,,,,0.0
11,True,0.0,0,0.0,,,,0.0
12,True,0.0,0,0.0,,,,0.0
13,True,0.0,0,0.0,,,,0.0
14,True,1.0,1,0.0,0.6953574211260858,0.0,0.5919637549993898,1.0
15,False,0.0,0,0.0,,,,
16,False,0.0,0,0.0,,,,
17,False,0.0,0,0.0,,,,
18,False,0.0,0,0.0,,,,
19,True,0.0,0,0.0,,,,0.0
20,True,0.0,0,0.0,,,,0.0
21,True,1.0,1,0.0,0.9273676223377668,0.0,0.9045599142121372,1.0
22,True,1.0,1,0.0,0.9163186417879066,0.0,1.025150431168076,1.0
23,True,1.0,1,0.0,0.5755995911446152,0.0,0.2535499140479487,1.0
24,False,0.0,0,0.0,,,,
25,False,0.0,0,0.0,,,,
26,True,0.0,0,0.0,,,,0.0
27,True,0.0,0,0.0,,,,0.0
28,True,0.0,0,0.0,,,,0.0
29,True,0.0,0,0.0,,,,0.0
30,True,0.0,0,0.0,,,,0.0
31,False,0.0,0,0.0,,,,
32,True,0.0,0,0.0,,,,0.0
33,True,0.0,0,0.0,,,,0.0
34,True,0.0,0,0.0,,,,0.0
35,True,0.0,0,0.0,,,,0.0
36,True,0.0,0,0.0,,,,0.0
37,True,0.0,0,0.0,,,,0.0
38,False,0.0,0,0.0,,,,
39,True,0.0,0,0.0,,,,0.0
40,True,0.0,0,0.0,,,,0.0
41,False,0.0,0,0.0,,,,
42,True,1.0,1,0.0,0.3577998876553756,0.0,0.1112459044872815,1.0
43,True,0.0,0,0.0,,,,0.0
44,True,0.0,0,0.0,,,,0.0
45,True,0.0,0,0.0,,,,0.0
46,True,0.0,0,0.0,,,,0.0
47,True,0.0,0,0.0,,,,0.0
48,True,0.0,0,0.0,,,,0.0
49,True,0.0,0,0.0,,,,0.0
50,True,1.0,1,0.0,1.0594982382535834,0.0,1.1704755304630508,1.0
51,True,1.0,1,0.0,0.5275085187181523,0.0,0.2747328713800191,1.0
52,True,1.0,1,0.0,0.134554181903988,0.0,0.0179659611004814,1.0
53,True,1.0,1,0.0,1.336164484475271,0.0,1.8382008584917997,1.0
54,False,0.0,0,0.0,,,,
55,True,1.0,1,0.0,0.4916662358195333,0.0,0.2243556421569604,1.0
56,False,0.0,0,0.0,,,,
57,True,0.0,0,0.0,,,,0.0
